UNIQUE IDENTIFICATION,CODE,COMBINATION,INDIVIDUAL OFFER,QUANTITY,AQUISTION,REACTIVATION,RETENTION,TOTAL REDEMPTIONS,SALES,MARGIN,TICKET,MARGIN %,MARKDOWN
199,8962Z,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,25% OFF PETWASH OR GROOMING ADD ON,"3,344",0,0,1,1,$10.50,$10.50,$10.50,100.0%,$3.50
4010,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"3,402",0,1,2,3,$183.00,$183.00,$61.00,100.0%,$52.00
4010,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"3,402",0,2,7,9,$547.82,$252.90,$60.87,46.2%,$64.75
9012,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,569",0,2,22,24,"$1,092.23",$199.55,$45.51,18.3%,$253.39
9012,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,569",0,0,8,8,$472.73,$94.16,$59.09,19.9%,$67.40
4459,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,587",0,10,111,121,"$4,838.55","$1,081.95",$39.99,22.4%,$824.11
4459,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"3,587",0,0,3,3,$106.62,$106.62,$35.54,100.0%,$10.88
4459,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,587",0,0,1,1,$0.43,$0.38,$0.43,88.4%,-$2.05
4459,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,587",1,9,39,49,"$1,673.74",$425.78,$34.16,25.4%,$284.08
4102,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,589",0,3,7,10,$529.40,$164.02,$52.94,31.0%,$102.05
4099,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,822",0,0,1,1,$7.52,$1.63,$7.52,21.7%,-$7.50
4099,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,822",2,5,32,39,"$3,086.10",$868.44,$79.13,28.1%,$513.97
8056,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"3,867",0,1,6,7,$823.75,$823.75,$117.68,100.0%,$149.25
8056,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"3,867",0,0,15,15,$782.69,$242.30,$52.18,31.0%,$132.94
4466,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,930",1,1,19,21,$933.94,$189.43,$44.47,20.3%,$139.91
4579,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"3,937",0,2,4,6,$295.62,$84.23,$49.27,28.5%,$32.87
4579,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"3,937",0,0,16,17,"$1,052.93",$268.50,$61.94,25.5%,$136.00
4175,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,966",0,1,3,4,$25.02,$16.69,$6.26,66.7%,-$22.00
4175,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,966",9,11,104,124,"$6,396.57","$1,749.32",$51.59,27.3%,"$1,443.01"
4175,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"3,966",0,0,4,4,$257.00,$257.00,$64.25,100.0%,$24.00
4175,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,966",0,0,1,1,$37.46,$4.96,$37.46,13.2%,-$0.95
4175,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,966",0,2,31,33,"$1,564.41",$416.14,$47.41,26.6%,$236.66
75,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,975",1,2,7,10,$568.90,$106.35,$56.89,18.7%,$88.59
75,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"3,975",0,0,1,1,$10.50,$10.50,$10.50,100.0%,$3.50
75,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"3,975",0,0,23,23,"$1,121.29",$276.81,$48.75,24.7%,$178.91
4583,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"4,053",0,0,12,12,$851.39,$223.09,$70.95,26.2%,$96.90
4583,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"4,053",0,1,2,3,$128.06,$30.74,$42.69,24.0%,$24.00
8060,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"4,216",0,0,3,3,$266.21,$101.38,$88.74,38.1%,$45.50
239,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"4,263",2,1,7,10,$871.32,$191.56,$87.13,22.0%,$167.13
4089,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"4,334",0,0,1,1,-$15.74,-$6.62,-$15.74,42.1%,-$8.25
4089,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"4,334",3,18,120,141,"$8,230.98","$1,894.70",$58.38,23.0%,"$1,731.09"
4136,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"4,356",0,2,2,4,$67.86,$22.71,$16.97,33.5%,$18.32
4296,8946B,$10 OFF $60,$10 OFF $60,"4,360",0,0,13,13,$913.71,$165.84,$70.29,18.2%,$119.70
4307,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"4,480",1,2,9,12,$705.58,$232.47,$58.80,32.9%,$79.71
169,8946B,$10 OFF $60,$10 OFF $60,"4,536",0,0,1,1,$37.19,$18.05,$37.19,48.5%,-$1.51
169,8946B,$10 OFF $60,$10 OFF $60,"4,536",0,1,53,54,"$4,115.89",$837.69,$76.22,20.4%,$540.00
4081,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"4,587",0,1,13,14,$454.56,$161.89,$32.47,35.6%,$103.74
4219,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"4,745",0,0,1,1,$82.78,$8.16,$82.78,9.9%,$9.20
4219,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"4,745",0,0,1,1,$49.98,$11.38,$49.98,22.8%,$8.00
4401,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"4,814",0,0,3,3,$190.71,$49.35,$63.57,25.9%,$22.37
4401,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"4,814",0,1,1,2,$21.00,$21.00,$10.50,100.0%,$7.00
4401,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"4,814",0,0,1,1,-$16.18,-$9.47,-$16.18,58.5%,-$1.80
4401,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"4,814",24,42,261,328,"$13,798.29","$4,205.22",$42.07,30.5%,"$2,096.31"
4157,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"4,891",0,3,61,64,"$2,304.19",$648.63,$36.00,28.2%,$255.22
4348,8958H,10% OFF PURCHASE / 50% OFF PETWASH,10% OFF PURCHASE,"5,058",1,2,37,40,"$2,477.58",$702.20,$61.94,28.3%,$265.85
4348,8961E,10% OFF PURCHASE / 50% OFF PETWASH,50% OFF PETWASH,"5,058",0,1,2,3,$29.75,$29.75,$9.92,100.0%,$35.00
4578,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"5,132",0,0,17,17,$929.59,$262.83,$54.68,28.3%,$105.40
4578,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"5,132",1,2,15,19,$885.24,$299.77,$46.59,33.9%,$128.06
4100,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"5,417",7,13,161,181,"$9,666.76","$2,514.75",$53.41,26.0%,"$1,677.42"
48,8945C,10% OFF PURCHASE / 25% OFF PETWASH,10% OFF PURCHASE,"5,559",0,2,16,18,$939.00,$205.64,$52.17,21.9%,$104.44
4263,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"5,855",3,2,43,48,"$3,251.89",$945.51,$67.75,29.1%,$496.69
4324,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"5,921",0,2,6,8,$520.94,$133.10,$65.12,25.5%,$90.28
4324,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"5,921",0,0,1,1,$69.50,$69.50,$69.50,100.0%,$7.50
4324,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"5,921",0,0,1,1,$49.95,$10.57,$49.95,21.2%,-$3.93
4324,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"5,921",0,0,27,27,"$1,709.49",$376.59,$63.31,22.0%,$317.28
4032,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,042",0,3,17,20,"$1,480.68",$340.86,$74.03,23.0%,$213.56
4459,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"6,045",0,2,28,30,"$1,677.78",$521.30,$55.93,31.1%,$180.67
4620,8958H,10% OFF PURCHASE / 50% OFF PETWASH,10% OFF PURCHASE,"6,189",1,2,2,5,$194.06,$38.63,$38.81,19.9%,$16.00
9027,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,285",4,3,65,73,"$4,150.14",$979.28,$56.85,23.6%,$770.76
9027,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,285",0,0,1,1,$23.40,$3.57,$23.40,15.3%,-$1.42
9027,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,285",3,9,54,66,"$4,312.91","$1,049.93",$65.35,24.3%,$806.57
4336,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"6,342",0,2,32,34,"$1,685.59",$370.77,$49.58,22.0%,$195.35
4372,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,425",0,2,14,16,$649.25,$165.41,$40.58,25.5%,$150.01
4372,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,425",1,1,11,13,$745.74,$133.00,$57.36,17.8%,$132.98
242,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,427",5,13,115,133,"$6,557.11","$1,556.17",$49.30,23.7%,"$1,260.23"
242,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"6,427",0,0,3,3,$31.50,$31.50,$10.50,100.0%,$10.50
242,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,427",0,1,15,16,$981.95,$232.74,$61.37,23.7%,$179.83
148,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,428",0,0,1,1,-$44.98,-$9.48,-$44.98,21.1%,-$15.00
148,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,428",1,6,69,76,"$3,810.64",$939.49,$50.14,24.7%,$686.79
148,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"6,428",0,0,2,2,$21.00,$21.00,$10.50,100.0%,$7.00
148,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,428",0,0,1,1,-$10.70,-$3.67,-$10.70,34.3%,-$4.08
148,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,428",0,1,37,38,"$2,622.22",$468.79,$69.01,17.9%,$517.73
4514,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"6,739",1,3,33,37,"$1,814.78",$574.06,$49.05,31.6%,$189.02
9015,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,852",0,0,1,1,$78.11,$19.74,$78.11,25.3%,-$0.99
9015,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,852",4,11,72,87,"$5,283.28","$1,278.24",$60.73,24.2%,"$1,092.85"
9015,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,852",1,0,7,8,$281.49,$61.18,$35.19,21.7%,$35.95
223,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"6,947",0,0,3,3,$181.75,$181.75,$60.58,100.0%,$55.25
223,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"6,947",0,1,26,27,"$1,694.67",$551.94,$62.77,32.6%,$257.65
7009,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,972",2,0,26,28,"$1,715.75",$422.19,$61.28,24.6%,$314.29
7009,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"6,972",1,3,20,24,"$1,390.98",$345.69,$57.96,24.9%,$246.20
4552,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"7,122",1,1,6,8,$283.04,$25.37,$35.38,9.0%,$43.77
4152,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"7,228",0,1,22,23,$830.89,$252.23,$36.13,30.4%,$116.40
215,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"7,344",0,0,1,1,$13.58,$5.75,$13.58,42.3%,-$0.30
215,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"7,344",1,2,50,53,"$2,990.07",$659.48,$56.42,22.1%,$334.78
215,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"7,344",0,2,34,36,"$1,829.00",$414.07,$50.81,22.6%,$288.00
8031,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"7,457",4,2,34,40,"$2,031.09",$483.76,$50.78,23.8%,$399.65
8031,8962Z,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,25% OFF PETWASH OR GROOMING ADD ON,"7,457",0,1,0,1,$11.00,$11.00,$11.00,100.0%,$3.50
4465,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"7,579",0,0,1,1,$1.27,$12.07,$1.27,950.4%,-$6.25
4465,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"7,579",26,38,152,217,"$8,636.53","$2,564.49",$39.80,29.7%,"$1,785.77"
4465,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"7,579",0,1,0,1,$61.98,$61.01,$61.98,98.4%,$5.00
4465,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"7,579",0,0,15,15,"$1,031.13",$220.81,$68.74,21.4%,$155.60
200,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"7,995",0,1,2,3,$184.98,$170.35,$61.66,92.1%,$50.00
200,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"7,995",0,3,9,12,$688.28,$254.98,$57.36,37.0%,$69.72
4423,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"8,327",0,0,2,2,$85.84,$8.43,$42.92,9.8%,$9.54
8058,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"8,602",0,2,26,28,"$1,195.31",$278.39,$42.69,23.3%,$243.49
8058,8962Z,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,25% OFF PETWASH OR GROOMING ADD ON,"8,602",0,0,2,2,$54.19,$23.16,$27.10,42.7%,$7.00
4065,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"8,616",0,2,1,3,$103.32,$12.70,$34.44,12.3%,$14.15
4065,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"8,616",0,0,1,1,$95.50,$95.50,$95.50,100.0%,$7.50
4065,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"8,616",0,2,9,11,$660.75,$268.66,$60.07,40.7%,$71.86
4556,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"8,716",3,8,56,67,"$3,828.16","$1,278.20",$57.14,33.4%,$778.05
4556,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"8,716",0,0,1,1,-$37.64,-$26.66,-$37.64,70.8%,-$6.32
4556,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"8,716",0,2,19,21,"$1,008.12",$196.30,$48.01,19.5%,$175.69
4394,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"8,726",3,4,49,56,"$2,770.05",$714.80,$49.47,25.8%,$543.16
4394,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"8,726",0,1,2,3,$49.48,$40.12,$16.49,81.1%,$10.50
4394,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"8,726",0,0,21,21,$806.57,$170.52,$38.41,21.1%,$107.73
4404,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"8,748",1,9,110,120,"$7,096.60","$1,920.43",$59.14,27.1%,$802.74
4404,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"8,748",0,1,52,53,"$3,056.16",$736.52,$57.66,24.1%,$405.37
178,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"8,880",0,4,120,124,"$7,910.89","$1,944.14",$63.80,24.6%,$858.95
178,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"8,880",0,3,57,60,"$3,608.71",$922.51,$60.15,25.6%,$470.51
4169,8957E,10% OFF PURCHASE / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF PURCHASE,"8,906",0,0,1,1,$36.12,$5.50,$36.12,15.2%,$4.02
4171,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"8,930",0,0,8,8,$429.66,$396.28,$53.71,92.2%,$34.13
